,C_ID,College,Private,Top10perc,Top25perc,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Acceptance_Rate,Enrollment_Rate,Student_Population,Pct_Out_Of_State
15,AME,American International College,1,0.09,0.22,0.5883801083210242,0.19230769230769232,0.20588235294117646,0.78,0.84,0.3693467336683417,0.19,0.13079508473672044,0.69,0.7697183098591549,0.2012808783165599,0.0340393343419062,6.666666666666667
16,AMH,Amherst College,1,0.83,0.96,0.6523879862136879,0.28205128205128205,0.235,0.93,0.98,0.21105527638190957,0.63,0.3809862536233173,1.0,0.23059042305904232,0.4213709677419355,0.04168188220564453,12.365456821026283
17,ANDR,Anderson University,1,0.19,0.4,0.43328409650418515,0.23504273504273504,0.16176470588235295,0.48,0.61,0.3040201005025126,0.14,0.14215851901908133,0.59,0.7467105263157895,0.4658590308370044,0.05477594032030883,4.809523809523809
18,ANDW,Andrews University,1,0.14,0.23,0.3803545051698671,0.38461538461538464,0.19411764705882353,0.62,0.66,0.2889447236180905,0.18,0.19397862465100563,0.46,0.6230088495575221,0.45738636363636365,0.04987218947258595,5.2280334728033475
19,ANG,Angelo State University,0,0.24,0.54,0.44214672575086167,0.21367521367521367,0.29411764705882354,0.6,0.62,0.5804020100502514,0.05,0.07131044048868103,0.34,0.5652542372881356,0.5077461269365318,0.14872971986019093,0.8996843212907751
20,ANT,Antioch University,1,0.25,0.44,0.41063515509601184,0.17094017094017094,0.16176470588235295,0.69,0.82,0.2839195979899498,0.35,0.7633595931214767,0.48,0.9270687237026648,0.3812405446293495,0.01917157911210809,21.05578231292517
21,APP,Appalachian State University,0,0.2,0.63,0.3126538650910881,0.041025641025641026,0.29411764705882354,0.83,0.96,0.4597989949748744,0.14,0.10410257322212936,0.7,0.6377683577191303,0.4095197255574614,0.28626949762637593,0.6201366742596811
22,AQU,Aquinas College,1,0.2,0.51,0.5076317085179715,0.14957264957264957,0.2375,0.55,0.65,0.31909547738693467,0.25,0.11708427435847278,0.65,0.8336025848142165,0.42441860465116277,0.0526370702697063,5.554013875123885
23,ARI,Arizona State University Main campus,0,0.24,0.49,0.5969965534219597,0.29914529914529914,0.3088235294117647,0.88,0.93,0.4748743718592965,0.05,0.08183806661568829,0.48,0.8047466625029276,0.36486224291812186,0.7871563461839428,0.24633839220624296
24,LYON,Arkansas College (Lyon College),1,0.46,0.74,0.482767109798129,0.21367521367521367,0.11764705882352941,0.79,0.88,0.31658291457286436,0.24,0.25926057652979567,0.54,0.4717514124293785,0.49700598802395207,0.018571652146695185,12.140449438202246
25,ATCH,Arkansas Tech University,0,0.12,0.52,0.32619399310684394,0.19230769230769232,0.14705882352941177,0.57,0.6,0.492462311557789,0.05,0.08427435847278289,0.48,0.9971164936562861,0.550028918449971,0.11844644999739162,0.7619467077736182
26,ASS,Assumption College,1,0.23,0.59,0.7287050713934022,0.21367521367521367,0.07352941176470588,0.93,0.93,0.3467336683417086,0.3,0.126260380915121,0.88,0.7962529274004684,0.2888235294117647,0.0625228233084668,5.006257822277847
27,AUB,Auburn University-Main Campus,0,0.25,0.57,0.4841211225997046,0.2564102564102564,0.28058823529411764,0.85,0.91,0.41959798994974873,0.18,0.11811569718848364,0.69,0.8997085320614733,0.4520689147400972,0.46893421670405344,0.350428301257092
28,AGSB,Augsburg College,1,0.12,0.3,0.5381585425898572,0.23076923076923078,0.13970588235294118,0.65,0.65,0.3216080402010051,0.31,0.13934878096491385,0.58,0.7749244712990937,0.5009746588693957,0.0730345870937451,4.2507142857142854
29,AUGS,Augustana College IL,1,0.36,0.69,0.5136632200886263,0.23076923076923078,0.12073529411764707,0.78,0.83,0.31909547738693467,0.4,0.16396066366724166,0.71,0.8823842469398616,0.2997587454764777,0.051854556836559026,6.716800804828974
30,AGST,Augustana College,1,0.21,0.58,0.3993106843919252,0.2564102564102564,0.1501470588235294,0.66,0.7,0.2613065326633166,0.3,0.12218803905180232,0.69,0.9526938239159002,0.4220689655172414,0.04269914966873598,6.713500305436774
31,AUS,Austin College,1,0.42,0.74,0.534465780403742,0.17094017094017094,0.16911764705882354,0.81,0.95,0.32663316582914576,0.33,0.2020343926164352,0.71,0.8417721518987342,0.36967418546365916,0.029605091554071677,9.938325991189428
32,AVE,Averett College,1,0.16,0.4,0.508985721319547,0.32051282051282054,0.19852941176470587,0.59,0.67,0.5628140703517588,0.11,0.11599950207173723,0.48,0.886762360446571,0.30935251798561153,0.03430017215295529,7.547528517110266
33,BAK,Baker University,1,0.21,0.47,0.5046774987690793,0.17094017094017094,0.33088235294117646,0.58,0.68,0.2763819095477387,0.21,0.10911742215425106,0.65,0.8023255813953488,0.42650103519668736,0.03714330429339037,6.053370786516854
34,BAL,Baldwin-Wallace College,1,0.3,0.61,0.5428360413589365,0.42735042735042733,0.14705882352941177,0.68,0.74,0.442211055276382,0.2,0.14379456902530544,0.85,0.808284023668639,0.48462664714494874,0.10897803745630967,2.631641933939684
35,BART,Barat College,1,0.15,0.36,0.5292959133431807,0.21367521367521367,0.07352941176470588,0.57,0.77,0.24371859296482412,0.35,0.16604129247950491,0.71,0.735632183908046,0.578125,0.01875423861442955,13.477051460361613
36,BARD,Bard College,1,0.5,0.85,0.7639094042343673,0.32051282051282054,0.11029411764705882,0.98,0.98,0.2613065326633166,0.3,0.24707911724432272,0.79,0.4387434554973822,0.34009546539379476,0.02657937294590224,18.904808635917565
37,BRND,Barnard College,1,0.53,0.95,1.0,0.2564102564102564,0.125,0.83,0.93,0.25879396984924624,0.33,0.22371205519890455,0.91,0.561698717948718,0.37874465049928674,0.05712348061975064,8.185388127853882
38,BRRY,Barry University,1,0.18,0.45,0.6597735105859183,0.2564102564102564,0.2647058823529412,0.76,0.78,0.31658291457286436,0.11,0.16154215496238863,0.72,0.7919191919191919,0.35586734693877553,0.12924513537482393,2.2785065590312814
39,BAY,Baylor University,1,0.34,0.66,0.48252092565238797,0.2564102564102564,0.19794117647058823,0.71,0.76,0.4648241206030151,0.38,0.13342699126847224,0.72,0.8804938271604938,0.44251261918115536,0.271349574834368,0.6200134576564452
40,BEA,Beaver College,1,0.23,0.56,0.6646971935007385,0.17094017094017094,0.11764705882352941,0.78,0.89,0.3065326633165829,0.3,0.159230345170985,0.73,0.7308684436801376,0.40941176470588236,0.03643904220355783,9.198282032927702
41,BLRM,Bellarmine College,1,0.39,0.63,0.36312161496799605,0.32051282051282054,0.18970588235294117,0.74,0.82,0.3291457286432161,0.31,0.11857805914676435,0.84,0.8760842627013631,0.43564356435643564,0.04702905733215087,4.9029395452024405
42,BMAB,Belmont Abbey College,1,0.17,0.36,0.5969965534219597,0.1282051282051282,0.36470588235294116,0.78,0.85,0.3316582914572864,0.1,0.13426279942382588,0.52,0.7816455696202531,0.2611336032388664,0.02191037612812353,10.714285714285714
43,BLMT,Belmont University,1,0.28,0.67,0.45100935499753814,0.2777777777777778,0.1323529411764706,0.61,0.61,0.27889447236180903,0.19,0.1354009211672861,0.49,0.7983606557377049,0.4938398357289528,0.0674787417183995,3.0150753768844223
44,BLT,Beloit College,1,0.26,0.54,0.4451009354997538,0.1517094017094017,0.10514705882352941,0.87,0.95,0.27889447236180903,0.26,0.23041630359397508,0.69,0.6992424242424242,0.3076923076923077,0.030413688768323857,13.982847341337907
45,BEM,Bemidji State University,0,0.12,0.36,0.33234859675036926,0.28205128205128205,0.2647058823529412,0.57,0.62,0.492462311557789,0.16,0.0667223872103569,0.46,0.7259933774834437,0.6225769669327252,0.12050706870467943,0.9577922077922078
46,BNDC,Benedictine College,1,0.14,0.24,0.4739044805514525,0.14957264957264957,0.03676470588235294,0.64,0.84,0.35427135678391963,0.18,0.10531182757455587,0.58,0.9810126582278481,0.3580645161290323,0.03137878866920549,7.938487115544472
47,BNNG,Bennington College,1,0.25,0.53,0.5046774987690793,0.2564102564102564,0.07352941176470588,0.35,0.59,0.2537688442211055,0.33,0.2910035032809916,0.55,0.630057803468208,0.3486238532110092,0.011972455527153217,47.27668845315904
48,BENT,Bentley College,1,0.2,0.6,0.6782373215164943,0.2692307692307692,0.125,0.87,0.87,0.4396984924623116,0.2,0.19456546867497732,0.82,0.6722446624350836,0.27467811158798283,0.1207157389535187,2.9818496110630943
49,BER,Berry College,1,0.37,0.68,0.48498276710979815,0.14957264957264957,0.3492647058823529,0.8,0.8,0.4095477386934674,0.17,0.1869187132111038,0.63,0.6571582346609257,0.3931203931203931,0.04353383066409307,4.823247453565009
50,BTHN,Bethany College,1,0.16,0.41,0.4139586410635155,0.23504273504273504,0.25,0.62,0.68,0.2914572864321608,0.29,0.13725036900040902,0.48,0.929384965831435,0.24509803921568626,0.020032343888570087,11.380208333333334
51,BCLK,Bethel College KS,1,0.19,0.42,0.44066962087641554,0.21367521367521367,0.20588235294117646,0.61,0.8,0.221105527638191,0.32,0.14802695925879822,0.56,0.9108910891089109,0.6630434782608695,0.01664145234493192,13.385579937304076
52,BCOL,Bethel College,1,0.11,0.28,0.35696701132447073,0.2564102564102564,0.11764705882352941,0.63,0.63,0.29396984924623115,0.13,0.13556096953746022,0.35,0.7649402390438247,0.2708333333333333,0.010981271845166675,14.726840855106888
53,BCK,Bethune Cookman College,1,0.12,0.3,0.41802067946824223,0.2777777777777778,0.36764705882352944,0.48,0.48,0.3467336683417086,0.09,0.12122774883075774,0.58,0.6986634264884569,0.47130434782608693,0.05764515624184882,2.3475113122171947
54,BIR,Birmingham-Southern College,1,0.67,0.88,0.5323732151649434,0.17094017094017094,0.1323529411764706,0.74,0.79,0.35175879396984927,0.34,0.15380648373730726,0.72,0.7304347826086957,0.4880952380952381,0.04129062548907089,7.365761212886923
55,BLA,Blackburn College,1,0.25,0.55,0.33234859675036926,0.21367521367521367,0.14705882352941177,0.76,0.76,0.35929648241206036,0.53,0.14896946632760122,0.51,0.672,0.4642857142857143,0.011685533934999217,14.508928571428571
56,BLO,Bloomsburg Univ. of Pennsylvania,0,0.15,0.55,0.36287543082225504,0.21367521367521367,0.24705882352941178,0.66,0.68,0.45226130653266333,0.19,0.1252111749328686,0.75,0.4470692455337369,0.33850726552179655,0.17718712504564663,1.1547180921536877
57,BLUE,Bluefield College,1,0.15,0.3,0.5354505169867061,0.19230769230769232,0.22058823529411764,0.61,0.67,0.44723618090452266,0.03,0.11130474987996372,0.53,0.9496021220159151,0.505586592178771,0.020397516824038814,9.143222506393862
58,BLFT,Bluffton College,1,0.2,0.5,0.4911373707533235,0.17094017094017094,0.1323529411764706,0.76,0.71,0.33417085427135684,0.19,0.1613465402877314,0.58,0.7427745664739884,0.4066147859922179,0.02193645990922844,11.771700356718192
59,BOS,Boston University,1,0.45,0.8,0.8382570162481536,0.202991452991453,0.15073529411764705,0.8,0.81,0.2989949748743719,0.16,0.2993971511390109,0.72,0.6441660063391442,0.2929191973552702,0.4716990975011738,1.0185799601857997
60,BOWD,Bowdoin College,1,0.76,1.0,0.7243968488429345,0.6388888888888888,0.12867647058823528,0.93,0.96,0.2814070351758794,0.52,0.36361211388330694,0.96,0.3036352800953516,0.4102060843964671,0.03907350409515364,12.703604806408546
61,BGSU,Bowling Green State University,0,0.14,0.45,0.41260462826193994,0.2564102564102564,0.25,0.81,0.89,0.5301507537688442,0.14,0.12302384720715594,0.67,0.7926710625878284,0.41947361243692893,0.3889613438364025,0.49973175965665234
62,BRDF,Bradford College,1,0.05,0.36,0.7717872968980798,0.21367521367521367,0.1323529411764706,0.57,0.8,0.2562814070351759,0.21,0.2736293635409813,0.46,0.744920993227991,0.4575757575757576,0.01291147164692994,28.444444444444443
63,BRAD,Bradley University,1,0.3,0.58,0.5465288035450517,0.8547008547008547,0.2238235294117647,0.75,0.81,0.36180904522613067,0.21,0.1364145608450554,0.85,0.9062914786302098,0.3107791446983011,0.134957483436799,2.1008890606880555
64,BRDS,Brandeis University,1,0.48,0.77,0.8308714918759232,0.1752136752136752,0.14705882352941177,0.9,0.97,0.2462311557788945,0.24,0.30498106094286276,0.84,0.65527950310559,0.26977761574917974,0.07514737336324273,6.726830961471711
65,BRNA,Brenau University,1,0.12,0.41,0.7236582964057114,0.21367521367521367,0.10294117647058823,0.71,0.8,0.3442211055276382,0.12,0.10554300855369622,0.49,0.7465940054495913,0.5766423357664233,0.03641295842245292,6.871060171919771
66,BRE,Brewton-Parker College,1,0.1,0.26,0.2917282127031019,0.21367521367521367,0.29411764705882354,0.62,0.62,0.31658291457286436,0.1,0.08713744598367507,0.18,0.8551532033426184,0.9788273615635179,0.05587145912671501,2.0406162464985993
67,BCLF,Briar Cliff College,1,0.16,0.44,0.4427621861152142,0.2564102564102564,0.22058823529411764,0.39,0.66,0.3291457286432161,0.26,0.14857823697828676,0.58,0.8954081632653061,0.4415954415954416,0.030465856330533673,8.784246575342467
68,BRDG,Bridgewater College,1,0.22,0.53,0.5816100443131462,0.23931623931623933,0.12867647058823528,0.68,0.73,0.3316582914572864,0.24,0.15391318265075668,0.82,0.8031026252983293,0.4338781575037147,0.024414419114194792,10.966880341880342
69,BRI,Brigham Young University at Provo,1,0.48,0.82,0.44066962087641554,0.36752136752136755,0.17941176470588235,0.76,0.76,0.5150753768844222,0.4,0.14077143314423915,0.33,0.73346911065852,0.854313217326916,0.7468047368146487,0.0817295937969334
70,BRO,Brown University,1,0.87,0.95,0.7294436238306253,0.3076923076923077,0.16176470588235295,0.99,1.0,0.19095477386934673,0.39,0.363487631817616,0.97,0.2573494358811378,0.45137388082741586,0.15629401638061455,3.259012016021362
71,BRY,Bryn Mawr College,1,0.71,0.95,0.8308714918759232,0.21367521367521367,0.17647058823529413,1.0,1.0,0.3090452261306533,0.49,0.31029822346309105,0.89,0.552901023890785,0.38641975308641974,0.0287964943398195,16.453804347826086
72,BUC,Bucknell University,1,0.49,0.85,0.5846873461349089,0.3418803418803419,0.17647058823529413,0.95,0.97,0.35678391959798994,0.36,0.2431846069034197,0.93,0.5823152107513745,0.22606871230002623,0.08730241535813031,5.54227666567075
73,BUE,Buena Vista College,1,0.32,0.7,0.4673806006893156,0.19230769230769232,0.13970588235294118,0.62,0.69,0.221105527638191,0.1,0.11262070314583963,0.78,0.8,0.41424418604651164,0.06181856121863425,5.614345991561182
74,BUT,Butler University,1,0.4,0.68,0.5723781388478582,0.21367521367521367,0.23529411764705882,0.77,0.81,0.27386934673366836,0.29,0.16913556096953747,0.83,0.8624047417442845,0.3436426116838488,0.0718608169440242,4.765880217785844
75,CAB,Cabrini College,1,0.08,0.28,0.7693254554406697,0.1282051282051282,0.04411764705882353,0.59,0.76,0.41457286432160806,0.36,0.12656269450322763,0.71,0.8247078464106845,0.4534412955465587,0.038630079816370184,7.1019581363943285
76,CALD,Caldwell College,1,0.17,0.42,0.5662235352043329,0.18162393162393162,0.14705882352941177,0.87,0.96,0.3492462311557789,0.25,0.14087813205768854,0.55,0.5974282888229476,0.3526490066225166,0.040716782304762895,5.701473414477899
77,CLUT,California Lutheran University,1,0.23,0.52,0.6523879862136879,0.26153846153846155,0.08470588235294117,0.72,0.74,0.31155778894472363,0.17,0.15978162289047357,0.6,0.43872113676731794,1.0,0.04848974907402577,6.966110812264659
78,CLPT,California Polytechnic-San Luis,0,0.47,0.73,0.6003200393894633,0.26153846153846155,0.3075,0.72,0.81,0.4974874371859297,0.13,0.15032098589796028,0.59,0.4886698246063244,0.4322766570605187,0.37338932651677187,0.5155431365700315
79,FRST,California State University at Fresno,0,0.05,0.6,0.5376661742983752,0.2564102564102564,0.2832352941176471,0.9,0.9,0.5326633165829145,0.08,0.12924795049170415,0.61,0.7255506607929515,0.4502125075895568,0.38468360373519744,0.5225115269867101
80,CALV,Calvin College,1,0.29,0.56,0.4566715903495815,0.17094017094017094,0.17794117647058824,0.75,0.81,0.3718592964824121,0.41,0.13845962335283551,0.81,0.8475336322869955,0.6038359788359788,0.09225833376806301,2.892281594571671
81,CAMP,Campbell University,1,0.2,0.54,0.3434268833087149,0.2564102564102564,0.07352941176470588,0.77,0.77,0.5477386934673367,0.34,0.06649120623121654,0.63,0.6415908001916627,0.49066467513069456,0.11463821795607491,1.7178612059158134
82,CMPB,Campbellsville College,1,0.25,0.55,0.37789266371245694,0.2564102564102564,0.19117647058823528,0.62,0.66,0.4447236180904523,0.13,0.09586897373428414,0.49,0.6922169811320755,0.5076660988074957,0.029187751056393135,5.415549597855228
83,CAN,Canisius College,1,0.16,0.34,0.6573116691285081,0.17094017094017094,0.1661764705882353,0.9,0.92,0.3668341708542714,0.26,0.14176728966976687,0.64,0.768664563617245,0.3433652530779754,0.0889978611299494,3.1506447831184055
84,CAP,Capital University,1,0.34,0.66,0.49236829148202854,0.21367521367521367,0.11764705882352941,0.64,0.69,0.3040201005025126,0.27,0.1699535859726495,0.83,0.7910704064109902,0.32489146164978294,0.06839167405707132,4.977116704805492
85,CAPC,Capitol College,1,0.1,0.52,0.3461349089118661,0.1282051282051282,0.3138235294117647,0.1,0.5,0.3040201005025126,0.24,0.14183842227873314,0.52,0.9,0.3888888888888889,0.0159893578173092,13.70309951060359
86,CRL,Carleton College,1,0.75,0.93,0.48707533234859673,0.23504273504273504,0.08088235294117647,0.81,0.93,0.2613065326633166,0.6,0.31938541425853145,0.91,0.5861172976985894,0.30968967701076633,0.04908967603943868,10.250797024442083
87,CMEL,Carnegie Mellon University,1,0.6,0.89,0.7003938946331856,0.19230769230769232,0.18382352941176472,0.86,0.93,0.23115577889447236,0.31,0.4336599505628368,0.74,0.5958982584784601,0.22899442414920207,0.11883770671396526,3.9288849868305533
88,CRRL,Carroll College,1,0.19,0.55,0.4775972427375677,0.20512820512820512,0.13676470588235295,0.74,0.81,0.44723618090452266,0.25,0.13632564508384756,0.79,0.8543103448275862,0.35519677093844604,0.05461943763367938,5.826170009551098
89,CNEW,Carson-Newman College,1,0.27,0.62,0.38774002954209746,0.17094017094017094,0.07352941176470588,0.61,0.62,0.3417085427135679,0.16,0.11943165045435954,0.67,0.8677007299270073,0.4879074658254469,0.05255881892639157,4.044665012406948
90,CAR,Carthage College,1,0.2,0.43,0.46467257508616444,0.21367521367521367,0.19117647058823528,0.74,0.89,0.399497487437186,0.22,0.13095513310689452,0.62,0.8830445544554455,0.3041345480028031,0.0517763054932443,6.6120906801007555
91,CWRU,Case Western Reserve University,1,0.71,0.93,0.5822255046774988,0.22435897435897437,0.21470588235294116,0.95,0.95,0.0728643216080402,0.29,0.35091494318282856,0.67,0.8140314676296105,0.22591888466413182,0.09296259585789556,4.405162738496072
92,CAS,Castleton State College,0,0.09,0.22,0.5773018217626785,0.17094017094017094,0.10294117647058823,0.89,0.91,0.3693467336683417,0.08,0.11235395586221614,0.79,0.7478122513922036,0.3861702127659574,0.04802024101413741,4.158609451385117
93,CTWB,Catawba College,1,0.13,0.34,0.5046774987690793,0.2564102564102564,0.2735294117647059,0.75,0.82,0.3391959798994975,0.27,0.1498230576351964,0.55,0.8125577100646353,0.3306818181818182,0.025953362199384423,9.316582914572864
94,CAT,Catholic University of America,1,0.24,0.49,0.7887740029542097,0.2247863247863248,0.16176470588235295,0.9,0.96,0.23366834170854275,0.18,0.2267529742322124,0.75,0.8352337514253135,0.3447098976109215,0.06181856121863425,5.785654008438819
95,CAZ,Cazenovia College,1,0.09,0.35,0.5957656326932546,0.2564102564102564,0.07352941176470588,0.22,0.47,0.35929648241206036,0.2,0.13687692280333613,1.18,0.8923836755913699,0.1535100495193708,0.026657624289216964,9.181996086105675
96,CCRS,Cedar Crest College,1,0.25,0.58,0.6505416051206302,0.21367521367521367,0.14705882352941177,0.58,0.83,0.29396984924623115,0.39,0.19492113171980865,0.74,0.7822164948453608,0.3261943986820428,0.040560279618133445,9.221864951768488
97,CED,Cedarville College,1,0.25,0.55,0.5428360413589365,0.24358974358974358,0.14705882352941177,0.5,0.52,0.3844221105527639,0.34,0.12265040101008305,0.64,0.8339709257842387,0.5651376146788991,0.05941885335698263,3.2238805970149254
98,CNT,Centenary College,1,0.12,0.46,0.6646971935007385,0.21367521367521367,0.11176470588235295,0.41,0.85,0.23869346733668342,0.2,0.17041594793093023,0.24,0.8455284552845529,0.28846153846153844,0.02404924617872607,12.364425162689805
99,CNLA,Centenary College of Louisiana,1,0.35,0.55,0.4295913343180699,0.2564102564102564,0.27941176470588236,0.86,0.92,0.2839195979899498,0.25,0.17222982945957,0.66,0.8767676767676768,0.4838709677419355,0.021362616724920444,10.927960927960928
100,CCST,Center for Creative Studies,1,0.01,0.2,0.817700640078779,1.0,0.09117647058823529,0.08,0.58,0.17085427135678394,0.04,0.23162555794640158,0.47,0.6589018302828619,0.5126262626262627,0.022119046376962805,13.242924528301886
101,CCOL,Central College,1,0.31,0.65,0.4505169867060561,0.2777777777777778,0.08823529411764706,0.76,0.9,0.3391959798994975,0.29,0.15016093752778617,0.67,0.8674980514419329,0.36028751123090746,0.03638687464134801,7.840860215053763
102,CCON,Central Connecticut State University,0,0.06,0.24,0.5470211718365338,0.21367521367521367,0.1448529411764706,0.69,0.73,0.41959798994974873,0.04,0.08713744598367507,0.49,0.6089466089466089,0.35624012638230645,0.26801085085293963,0.580243309002433
103,CMSU,Central Missouri State University,0,0.1,0.35,0.40472673559822747,0.1282051282051282,0.33088235294117646,0.69,0.8,0.49497487437185933,0.04,0.09782512048085644,0.5,0.8760948515274514,0.3501584979273348,0.2527518389065679,0.47678018575851394
104,CWAS,Central Washington University,0,0.08,0.65,0.4435007385524372,0.2794871794871795,0.20823529411764705,0.67,0.89,0.45477386934673375,0.0,0.11404335532516494,0.51,0.7220825852782765,0.5007458975634013,0.19315039908185092,0.9779878460499662
105,CWES,Central Wesleyan College,1,0.08,0.29,0.379123584441162,0.2564102564102564,0.08823529411764706,0.62,0.62,0.38190954773869346,0.18,0.05984030729287074,0.58,0.8390804597701149,0.6027397260273972,0.028170483593301685,7.685185185185185
106,CEN,Centre College,1,0.55,0.82,0.5256031511570655,0.2564102564102564,0.1323529411764706,0.95,0.99,0.2864321608040201,0.6,0.23327939110486726,0.74,0.876604146100691,0.32432432432432434,0.02477959204966352,12.473684210526315
107,CHA,Chapman University,1,0.23,0.48,0.7256277695716395,0.2564102564102564,0.16176470588235295,0.72,0.8,0.3216080402010051,0.06,0.22570376824996,0.47,0.8039624608967675,0.45525291828793774,0.04880275444728468,8.885088188134688
108,CTHM,Chatham College,1,0.28,0.56,0.6437715411127524,0.17094017094017094,0.125,0.95,0.98,0.23366834170854275,0.37,0.28621983532801026,0.52,0.9292452830188679,0.4619289340101523,0.01614586050393865,21.809369951534734
109,CHE,Chestnut Hill College,1,0.25,0.64,0.6173067454455933,0.29914529914529914,0.125,0.71,0.71,0.20854271356783924,0.29,0.13744598367506625,0.73,0.7426900584795322,0.49606299212598426,0.019562835828681725,13.78
110,CHR,Christendom College,1,0.33,0.71,0.4431314623338257,0.17094017094017094,0.11764705882352941,0.92,0.92,0.23366834170854275,0.17,0.19422758878238758,0.58,0.8888888888888888,0.7083333333333334,0.0037038969168970734,61.478873239436616
111,CBRS,Christian Brothers University,1,0.16,0.42,0.4012801575578533,0.2564102564102564,0.1323529411764706,0.81,0.81,0.27889447236180903,0.24,0.14455924457169278,0.63,0.5909090909090909,0.4307692307692308,0.03735197454222964,6.494413407821229
112,CNWP,Christopher Newport University,0,0.03,0.37,0.5846873461349089,0.22435897435897437,0.2777941176470588,0.8,0.82,0.5326633165829145,0.16,0.08249604324862625,0.48,0.8674971687429218,0.5587467362924282,0.12152433616777088,1.6870573084352865
113,CLA,Claflin College,1,0.21,0.47,0.30280649926144754,0.21367521367521367,0.14705882352941177,0.69,0.69,0.42462311557788945,0.31,0.1259580673270144,0.21,0.5827759197324415,0.7159253945480631,0.025353435233971516,4.539094650205762
114,CMCK,Claremont McKenna College,1,0.71,0.93,0.7397833579517479,0.21367521367521367,0.125,0.99,0.99,0.2412060301507538,0.52,0.327974676791208,0.87,0.41236559139784945,0.29595827900912647,0.023162397621159164,19.144144144144143
